trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,False,"{'a': 0.65, 'e': 0.8097278682212584}",20,0,-76.41996671603442,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
22,False,"{'a': 0.65, 'e': 0.8016305895390459}",20,0,-73.83386750532631,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.65, 'e': 0.7936142836436554}",20,0,-35.982022306243145,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
24,False,"{'a': 0.65, 'e': 0.7856781408072188}",25,0,-59.74984620189415,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
25,False,"{'a': 0.65, 'e': 0.7778213593991467}",30,0,-132.95256377242026,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
26,False,"{'a': 0.65, 'e': 0.7700431458051551}",20,0,-109.3922739045298,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.65, 'e': 0.7623427143471035}",20,0,-75.31390756229848,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
28,False,"{'a': 0.65, 'e': 0.7547192872036326}",25,0,-10.370170711918547,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.65, 'e': 0.7471720943315961}",25,5,-114.18762942977472,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",1
30,False,"{'a': 0.65, 'e': 0.7397003733882802}",20,9,-48.65384953832895,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 0}",1
31,False,"{'a': 0.65, 'e': 0.7323033696543975}",30,0,-96.13522720771718,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.65, 'e': 0.7249803359578534}",20,0,-75.90356849577924,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
33,False,"{'a': 0.65, 'e': 0.7177305325982749}",20,0,-73.58501547031585,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.65, 'e': 0.7105532272722921}",25,0,-66.62580559193236,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.65, 'e': 0.7034476949995692}",20,0,-74.52328934512845,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
36,False,"{'a': 0.65, 'e': 0.6964132180495735}",30,0,-46.01897752183782,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
37,False,"{'a': 0.65, 'e': 0.6894490858690777}",30,0,-146.23507748891979,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
38,False,"{'a': 0.65, 'e': 0.682554595010387}",30,0,-98.40160632870229,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.65, 'e': 0.6757290490602831}",35,22,-42.87078826826688,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
40,False,"{'a': 0.65, 'e': 0.6689717585696803}",25,0,-115.10224126022653,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
41,False,"{'a': 0.65, 'e': 0.6622820409839835}",25,17,5.09620988944316,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.65, 'e': 0.6556592205741436}",20,0,-71.5337249974097,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.65, 'e': 0.6491026283684022}",20,0,-92.36828680083696,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
44,False,"{'a': 0.65, 'e': 0.6426116020847181}",20,0,-55.64823301808217,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.65, 'e': 0.6361854860638709}",20,8,-22.51239789140786,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
46,False,"{'a': 0.65, 'e': 0.6298236312032323}",25,14,-48.155384397845275,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
47,False,"{'a': 0.65, 'e': 0.6235253948912}",25,0,-48.99482924498455,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.65, 'e': 0.617290140942288}",25,0,-134.02075436722532,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
49,False,"{'a': 0.65, 'e': 0.611117239532865}",25,0,-67.62515151597125,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
50,False,"{'a': 0.65, 'e': 0.6050060671375364}",25,0,-35.551555124162064,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
51,False,"{'a': 0.65, 'e': 0.598956006466161}",25,0,-126.04474618636567,"{0: 14, 1: 0, 2: 9, 3: 1, 4: 1}",0
52,False,"{'a': 0.65, 'e': 0.5929664464014994}",20,0,-110.87217518951488,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
53,False,"{'a': 0.65, 'e': 0.5870367819374844}",35,19,10.40885078414134,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.65, 'e': 0.5811664141181095}",20,0,-92.30141904279708,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
55,False,"{'a': 0.65, 'e': 0.5753547499769285}",20,0,-73.79511636630613,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.65, 'e': 0.5696012024771592}",30,4,-20.565307306293498,"{0: 21, 1: 2, 2: 2, 3: 1, 4: 0}",1
57,False,"{'a': 0.65, 'e': 0.5639051904523875}",25,0,-33.557774686662945,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
58,False,"{'a': 0.65, 'e': 0.5582661385478637}",25,12,9.580381353752546,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.65, 'e': 0.5526834771623851}",20,0,-67.61954906600462,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.65, 'e': 0.5471566423907612}",20,15,-2.1039900923692065,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.65, 'e': 0.5416850759668536}",20,0,-78.36449445213958,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
62,False,"{'a': 0.65, 'e': 0.536268225207185}",20,0,-4.722612833068456,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.65, 'e': 0.5309055429551132}",35,0,-126.04155180633352,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
64,False,"{'a': 0.65, 'e': 0.525596487525562}",20,0,-31.05967129403901,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
65,False,"{'a': 0.65, 'e': 0.5203405226503064}",20,0,-11.775878210345933,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
66,False,"{'a': 0.65, 'e': 0.5151371174238033}",25,0,6.9978208589289865,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.65, 'e': 0.5099857462495653}",20,0,-73.56041482964002,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.65, 'e': 0.5048858887870696}",25,0,-69.46867173868287,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
69,False,"{'a': 0.65, 'e': 0.4998370298991989}",20,0,-11.33579413910889,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
70,False,"{'a': 0.65, 'e': 0.49483865960020695}",20,0,-129.1164280718418,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
71,False,"{'a': 0.65, 'e': 0.4898902730042049}",25,0,-74.92388850043159,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.65, 'e': 0.48499137027416284}",25,2,-160.71724464834844,"{0: 11, 1: 5, 2: 3, 3: 2, 4: 2}",1
73,False,"{'a': 0.65, 'e': 0.4801414565714212}",20,0,-33.480141671147,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.65, 'e': 0.47534004200570695}",20,0,-45.820022890959706,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.65, 'e': 0.4705866415856499}",20,0,-14.72445177706806,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
76,False,"{'a': 0.65, 'e': 0.46588077516979337}",20,16,7.401642660581353,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.65, 'e': 0.46122196741809546}",25,9,-39.46990848156594,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.65, 'e': 0.4566097477439145}",35,15,-47.51580125810166,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
79,False,"{'a': 0.65, 'e': 0.45204365026647536}",30,0,-124.40150701202138,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
80,False,"{'a': 0.65, 'e': 0.4475232137638106}",35,17,-27.944772700449953,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.65, 'e': 0.4430479816261725}",20,0,-39.02770215756677,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.65, 'e': 0.43861750180991077}",30,16,19.04722737837061,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.65, 'e': 0.43423132679181164}",30,15,-6.528766713195204,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.65, 'e': 0.4298890135238935}",20,0,-46.89858137881648,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
85,False,"{'a': 0.65, 'e': 0.4255901233886546}",25,13,-31.374289760123617,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
86,False,"{'a': 0.65, 'e': 0.421334222154768}",25,0,-65.22624824645307,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
87,False,"{'a': 0.65, 'e': 0.41712087993322033}",20,0,-17.133188397312384,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
88,False,"{'a': 0.65, 'e': 0.41294967113388814}",25,5,-53.06785671262032,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
89,False,"{'a': 0.65, 'e': 0.40882017442254925}",30,11,-37.854097192806876,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.65, 'e': 0.4047319726783238}",20,0,-22.91323946611503,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
91,False,"{'a': 0.65, 'e': 0.40068465295154054}",30,7,-16.43995436000032,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.65, 'e': 0.3966778064220251}",25,0,-47.59620863314532,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.65, 'e': 0.39271102835780486}",25,11,12.695762804040871,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.65, 'e': 0.3887839180742268}",30,16,-0.07622318569916064,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
95,False,"{'a': 0.65, 'e': 0.38489607889348454}",30,14,15.703821899578408,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.65, 'e': 0.38104711810454966}",20,3,-1.5669537380939258,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.65, 'e': 0.37723664692350417}",25,19,12.222303187102167,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.65, 'e': 0.37346428045426916}",20,0,-53.516404071581285,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
99,False,"{'a': 0.65, 'e': 0.36972963764972644}",20,6,-29.52823549187107,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.65, 'e': 0.3660323412732292}",20,0,-16.67662689885473,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.65, 'e': 0.3623720178604969}",20,0,6.537103658193545,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.65, 'e': 0.3587482976818919}",25,0,-31.614366798751472,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.65, 'e': 0.355160814705073}",30,0,-51.47634966549004,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
104,False,"{'a': 0.65, 'e': 0.35160920655802225}",25,0,1.3982578629856717,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
105,False,"{'a': 0.65, 'e': 0.348093114492442}",20,10,15.603285213024447,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.65, 'e': 0.3446121833475176}",20,0,-29.25940495938986,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
107,False,"{'a': 0.65, 'e': 0.34116606151404244}",25,0,-13.947428273087581,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.65, 'e': 0.337754400898902}",20,16,7.229735607424255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.65, 'e': 0.334376856889913}",25,14,-21.574521852461658,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.65, 'e': 0.33103308832101386}",25,12,10.905307058229468,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.65, 'e': 0.3277227574378037}",25,8,25.14109381776179,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.65, 'e': 0.3244455298634257}",20,0,-17.332179958825474,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
113,False,"{'a': 0.65, 'e': 0.3212010745647914}",30,13,5.722473088620319,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.65, 'e': 0.3179890638191435}",25,4,7.715131750255704,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.65, 'e': 0.31480917318095203}",20,11,6.864866952974351,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.65, 'e': 0.3116610814491425}",20,6,-38.74328541548315,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
117,False,"{'a': 0.65, 'e': 0.30854447063465107}",25,0,-26.914871858979105,"{0: 21, 1: 2, 2: 0, 3: 2, 4: 0}",0
118,False,"{'a': 0.65, 'e': 0.3054590259283046}",30,15,-30.625837167311822,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
119,False,"{'a': 0.65, 'e': 0.30240443566902153}",30,16,23.66732180886366,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.65, 'e': 0.2993803913123313}",30,12,2.874908071269024,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.65, 'e': 0.296386587399208}",25,7,12.09672606127401,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
